user_id,name,age,learning_style_Problem-Solving,learning_style_Text-based,learning_style_Visual,learning_style_string,study_preference_Solo,study_preference_string,study_level_Beginner,study_level_Intermediate,study_level_string,Algorithms,Artificial Intelligence,Augmented Reality,Big Data,Bioinformatics,Blockchains,Cloud Computing,Compiler Design,Computer Architecture,Computer Networks,Computer Vision,Cryptography,Cybersecurity,Data Mining,Data Structures,Database Management,Deep Learning,Digital Logic,Distributed Systems,Embedded Systems,Ethical Hacking,Game Development,Graph Theory,Human-Computer Interaction,Image Processing,Internet of Things,Linear Algebra,Machine Learning,Mathematics for CS,Mobile Computing,Natural Language Processing,Network Security,Neural Networks,Operating System Internals,Operating Systems,Optimization Techniques,Parallel Computing,Pattern Recognition,Physics for CS,Probability & Statistics,Programming Languages,Quantum Computing,Reinforcement Learning,Signal Processing,Software Engineering,Software Testing,Speech Recognition,Theory of Computation,Virtual Reality,Web Development,Wireless Networks,string,recommendations
11,Oscar Patel,0.7333333333333333,False,False,True,False,True,False,False,True,False,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[(266, 0.7527278212770984), (46, 0.7186929796021009), (102, 0.6836089293425929)]"
12,Brianna Smith,0.6666666666666666,False,False,True,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"[(221, 0.7876914874525177), (83, 0.7675597709689678), (3, 0.7669649888473703)]"
13,Dr. Bonnie Coleman,0.6666666666666666,True,False,False,False,False,False,True,False,False,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(117, 0.7893270725161384), (328, 0.7888934916555407), (4, 0.7522450861014048)]"
14,Shelley Smith,0.6333333333333333,False,False,True,False,True,False,False,True,False,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[(365, 0.7496619341990998), (434, 0.7415934402034382), (376, 0.7153696818765806)]"
15,Johnathan Payne,0.6,False,False,True,False,True,False,True,False,False,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(176, 0.8232335126818949), (84, 0.8109420481432695), (157, 0.8048570157078954)]"
16,Kimberly Johnson,0.6666666666666666,False,True,False,False,True,False,False,True,False,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"[(347, 0.86309982475451), (154, 0.7086686280738322), (161, 0.70816406482201)]"
17,Austin Perez,0.8666666666666667,False,False,False,False,True,False,False,False,False,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,"[(77, 0.5850248233274719), (337, 0.5844190061029799), (314, 0.5645648847664241)]"
18,Jennifer Allen,0.6666666666666666,True,False,False,False,True,False,True,False,False,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"[(260, 0.7554191132592915), (187, 0.7397350029452737), (497, 0.7170473730784473)]"
19,Jeff Smith,0.9,False,False,False,False,True,False,False,False,False,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,"[(247, 0.5367858259905892), (102, 0.5276139927553153), (353, 0.5130400186822467)]"
20,Laura Warner,0.9666666666666668,True,False,False,False,True,False,False,True,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"[(22, 0.7181561880321037), (213, 0.6979821303671037), (65, 0.694571659490056)]"
21,Justin Boyle,0.9,True,False,False,False,False,False,True,False,False,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"[(454, 0.8501163759254912), (131, 0.7973399035661494), (492, 0.7931500577204416)]"
22,Heather Aguirre,0.7333333333333333,True,False,False,False,True,False,False,True,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"[(337, 0.8514997075116786), (20, 0.7181561880321037), (80, 0.6836089293425929)]"
23,Diane Smith,0.8,False,False,True,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"[(228, 0.6289611506846632), (266, 0.6268347611141907), (484, 0.5704467353951891)]"
24,Jocelyn Gomez,0.6333333333333333,False,False,False,False,True,False,False,False,False,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"[(493, 0.6192999986282074), (143, 0.550489759799339), (420, 0.5497027833286248)]"
25,Allison Wright,0.9666666666666668,False,True,False,False,True,False,False,False,False,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,"[(33, 0.520344336760777), (481, 0.5045754180844657), (68, 0.48990563916024427)]"
26,Brian Wheeler,0.6,False,False,False,False,True,False,False,False,False,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,"[(57, 0.5712386578470047), (407, 0.5443317202366486), (193, 0.5200203389710052)]"
27,Gabriela Walsh,0.6666666666666666,False,False,False,False,True,False,False,True,False,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(428, 0.7789310138614978), (451, 0.6877980035282016), (417, 0.6791152549104851)]"
28,Christopher Edwards,0.8,False,False,False,False,True,False,False,True,False,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(196, 0.6903620095357764), (121, 0.6889727724843804), (104, 0.6852575757955871)]"
29,Jacob Turner,0.9666666666666668,True,False,False,False,True,False,False,True,False,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"[(325, 0.7264102145472737), (229, 0.7247928660563763), (412, 0.6956531009597398)]"
30,Michael Hill,0.6666666666666666,False,False,True,False,True,False,False,True,False,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"[(204, 0.7155615606514427), (56, 0.6829897213196511), (391, 0.6504854368932039)]"
31,Crystal Doyle,0.8,False,False,True,False,True,False,True,False,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"[(391, 0.8124241711568345), (330, 0.7941331617051545), (66, 0.7930610145173373)]"
32,Susan Pena,0.7333333333333333,False,False,False,False,False,False,True,False,False,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(147, 0.8670885599260993), (244, 0.8170037044218876), (329, 0.814959574380374)]"
33,Melissa Davis,0.6666666666666666,False,False,False,False,True,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"[(363, 0.6966954098955696), (307, 0.6878761918783496), (265, 0.6870798144439891)]"
34,Penny Johnson,0.8666666666666667,True,False,False,False,True,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,"[(127, 0.6103023481660748), (467, 0.5712426645772225), (234, 0.5482641611414907)]"
35,Matthew Ferguson,0.7666666666666666,False,True,False,False,False,False,True,False,False,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"[(445, 0.8536879051581397), (468, 0.7931814129597554), (69, 0.7543833576409159)]"
36,Kevin Garcia,0.7666666666666666,False,False,True,False,True,False,True,False,False,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"[(84, 0.9094177319048524), (283, 0.8604004716072076), (391, 0.8259120806364926)]"
37,Joseph Carlson,0.9,False,False,False,False,True,False,False,True,False,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"[(476, 0.7809256168080696), (344, 0.7797189919178852), (170, 0.7401805616028672)]"
38,Jeffrey Hunter,0.7666666666666666,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,"[(226, 0.6528560536352851), (77, 0.5882543936792101), (71, 0.5804115906459552)]"
39,Dylan Scott,0.8666666666666667,False,False,False,False,True,False,True,False,False,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"[(379, 0.8153374001614734), (491, 0.8084313181956952), (455, 0.7994015162381002)]"
40,Emily Ross,1.0,False,True,False,False,True,False,False,True,False,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"[(364, 0.7197075645185521), (178, 0.7168142634424536), (342, 0.6667320619189979)]"
41,Randy Meyer,0.9,False,False,False,False,False,False,True,False,False,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"[(8, 0.7967068272100764), (372, 0.7947046162186597), (346, 0.7784013428711186)]"
42,Donald Mason,0.9,True,False,False,False,True,False,False,False,False,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,"[(124, 0.5655322230267921), (363, 0.5551000641368327), (392, 0.5543724248154708)]"
43,Eric Gonzalez,0.9666666666666668,False,False,True,False,True,False,False,True,False,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"[(158, 0.7887786920585961), (325, 0.6953111600790204), (241, 0.6919347900282591)]"
44,Justin Sandoval,0.6666666666666666,False,True,False,False,True,False,False,False,False,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(72, 0.629174972381079), (85, 0.558818960362342), (400, 0.5521499793024427)]"
45,Ashley Vang,0.6333333333333333,False,True,False,False,True,False,False,True,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(161, 0.7407861396899412), (53, 0.714535478611157), (435, 0.7138656584119516)]"
46,Kimberly Anderson,0.9666666666666668,False,True,False,False,True,False,False,True,False,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"[(11, 0.7186929796021009), (440, 0.665084820809004), (136, 0.6434806242275939)]"
47,Mark Alexander,0.8,False,False,True,False,True,False,False,True,False,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[(350, 0.7184212081070995), (202, 0.7183880242196327), (402, 0.7072897246024463)]"
48,Amy Gray,1.0,False,False,False,False,True,False,False,True,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"[(335, 0.695248015504868), (305, 0.6937788652906997), (285, 0.69064750326644)]"
49,Christopher Smith,0.7,True,False,False,False,True,False,False,True,False,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,"[(240, 0.6824867032355534), (170, 0.678425895439756), (402, 0.6563002205706945)]"
50,Cassandra Brooks,0.7666666666666666,False,False,False,False,True,False,False,False,False,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(313, 0.573488477317742), (490, 0.5568720785494761), (105, 0.5325308351876147)]"
51,Angela Burns,0.6,False,True,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,"[(108, 0.5149282308347399), (431, 0.47809385250113184), (334, 0.46718101540808454)]"
52,Anita Roberts,0.8333333333333334,False,False,True,False,True,False,False,True,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,"[(68, 0.7166457936263335), (426, 0.6612857522675846), (278, 0.6596676562491629)]"
53,Cathy Jacobs,0.8333333333333334,False,True,False,False,True,False,False,True,False,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(202, 0.7195917755560388), (45, 0.714535478611157), (105, 0.6870365311227316)]"
54,Samantha Peters,0.9666666666666668,False,False,True,False,True,False,False,True,False,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"[(102, 0.6863289842111331), (498, 0.6625194128547859), (262, 0.6554328846212687)]"
55,Christopher Mooney,0.7,False,False,True,False,False,False,True,False,False,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(153, 0.8665235132192971), (286, 0.7883043626397467), (446, 0.7741656432945582)]"
56,Jennifer Martin,0.8,False,False,True,False,True,False,False,True,False,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"[(231, 0.7359481439965241), (30, 0.6829897213196511), (447, 0.6670836740716325)]"
57,Monica Payne,0.9333333333333332,False,False,False,False,True,False,False,False,False,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(305, 0.6935189170922471), (26, 0.5712386578470047), (16, 0.5289658434613129)]"
58,Rebecca Coleman,0.6666666666666666,False,True,False,False,False,False,True,False,False,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(255, 0.7896353902573596), (458, 0.7690111910333901), (464, 0.7522400133977996)]"
59,Julie Nguyen,0.7333333333333333,True,False,False,False,False,False,True,False,False,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(131, 0.814959574380374), (414, 0.8141938069125754), (280, 0.7701025005178564)]"
60,Edward Knox,0.9666666666666668,False,False,False,False,True,False,False,True,False,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"[(93, 0.697057278163973), (367, 0.683877910012394), (435, 0.664649038568151)]"
61,Julia Clark,0.7333333333333333,False,True,False,False,True,False,False,False,False,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,"[(74, 0.5559492708052055), (336, 0.5536448342482118), (189, 0.5512313080694488)]"
62,Robin Collins,1.0,False,False,False,False,True,False,False,True,False,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[(5, 0.6978451427887298), (294, 0.6894559358062362), (480, 0.6872564503672763)]"
63,Susan Peterson,0.7,False,True,False,False,True,False,False,True,False,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"[(230, 0.7262535215503424), (478, 0.6827573078464628), (154, 0.6803120054279747)]"
64,Keith Sanchez,0.6333333333333333,False,False,True,False,False,False,True,False,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"[(352, 0.7815200534492377), (391, 0.771950531669848), (31, 0.7496676089677974)]"
65,Dawn Washington,0.9666666666666668,False,True,False,False,True,False,False,True,False,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"[(377, 0.6953111600790204), (20, 0.694571659490056), (376, 0.692821920241569)]"
66,Timothy Strickland,0.8333333333333334,False,True,False,False,False,False,True,False,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"[(468, 0.7953724856073802), (31, 0.7930610145173373), (304, 0.7564045923879218)]"
67,Robert Larson,1.0,False,True,False,False,False,False,True,False,False,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"[(329, 0.814728104606187), (309, 0.7814626849519191), (155, 0.7499999999999999)]"
68,Veronica Hamilton,0.7666666666666666,False,False,True,False,True,False,False,True,False,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"[(52, 0.7166457936263335), (463, 0.7021237917889369), (204, 0.6623083452941376)]"
69,Kelly Thompson,0.8333333333333334,False,True,False,False,False,False,True,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"[(304, 0.8134321956944646), (35, 0.7543833576409159), (403, 0.7517943902389835)]"
70,Samantha Pollard,1.0,False,False,True,False,True,False,False,True,False,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"[(156, 0.7482387262365795), (126, 0.694498727377151), (426, 0.6886755914801689)]"
71,Kyle Sanchez,0.8666666666666667,False,False,True,False,True,False,False,True,False,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"[(77, 0.7561403062636839), (134, 0.7312294008436062), (88, 0.6615323022673003)]"
