user_id,name,age,study_level,preferred_subjects,strengths,weaknesses,learning_style,study_preference,availability
11,Nina Chopra,23,Intermediate,"['Artificial Intelligence', 'Probability & Statistics', 'Graph Theory', 'Cybersecurity', 'Web Development', 'Cryptography', 'Neural Networks']",['Web Development'],"['Cryptography', 'Graph Theory', 'Probability & Statistics']",Visual,Solo,['Morning']
12,Olivia Bose,24,Intermediate,"['Compiler Design', 'Software Engineering', 'Digital Logic', 'Big Data', 'Parallel Computing', 'Signal Processing', 'Quantum Computing', 'Virtual Reality']","['Quantum Computing', 'Parallel Computing', 'Virtual Reality', 'Compiler Design']","['Big Data', 'Software Engineering', 'Signal Processing']",Visual,Group,"['Night', 'Afternoon', 'Morning']"
13,Tara Mehta,21,Intermediate,"['Pattern Recognition', 'Artificial Intelligence', 'Big Data', 'Computer Architecture', 'Game Development', 'Operating System Internals', 'Embedded Systems', 'Image Processing']","['Operating System Internals', 'Game Development']","['Artificial Intelligence', 'Image Processing', 'Embedded Systems']",Auditory,Group,"['Afternoon', 'Night', 'Morning']"
14,Kiara Bose,20,Intermediate,"['Artificial Intelligence', 'Operating Systems', 'Embedded Systems', 'Computer Architecture', 'Compiler Design', 'Software Engineering']","['Operating Systems', 'Compiler Design', 'Artificial Intelligence', 'Computer Architecture']","['Embedded Systems', 'Software Engineering']",Text-based,Group,['Afternoon']
15,Chris Clark,22,Intermediate,"['Compiler Design', 'Reinforcement Learning', 'Parallel Computing', 'Operating System Internals', 'Web Development', 'Image Processing', 'Blockchains', 'Signal Processing', 'Augmented Reality', 'Software Testing']","['Blockchains', 'Operating System Internals', 'Reinforcement Learning', 'Signal Processing', 'Software Testing']","['Parallel Computing', 'Compiler Design', 'Image Processing']",Auditory,Solo,"['Evening', 'Afternoon']"
16,Jay Johnson,19,Intermediate,"['Big Data', 'Machine Learning', 'Neural Networks', 'Mathematics for CS', 'Internet of Things', 'Cybersecurity']","['Machine Learning', 'Big Data']","['Mathematics for CS', 'Neural Networks', 'Internet of Things']",Text-based,Solo,"['Afternoon', 'Morning', 'Night']"
17,Owen Smith,21,Intermediate,"['Cybersecurity', 'Computer Vision', 'Bioinformatics', 'Parallel Computing', 'Operating Systems', 'Big Data']",['Parallel Computing'],"['Computer Vision', 'Operating Systems', 'Bioinformatics']",Problem-Solving,Group,"['Night', 'Morning', 'Evening']"
18,Zara Kapoor,23,Intermediate,"['Mobile Computing', 'Software Testing', 'Data Mining', 'Bioinformatics', 'Deep Learning', 'Programming Languages', 'Database Management', 'Speech Recognition', 'Ethical Hacking', 'Parallel Computing']",['Bioinformatics'],"['Ethical Hacking', 'Software Testing', 'Parallel Computing']",Text-based,Group,['Afternoon']
19,Liam Patel,21,Intermediate,"['Game Development', 'Image Processing', 'Theory of Computation', 'Digital Logic', 'Artificial Intelligence', 'Augmented Reality', 'Cryptography']","['Image Processing', 'Artificial Intelligence']","['Digital Logic', 'Augmented Reality', 'Game Development']",Auditory,Group,"['Afternoon', 'Morning']"
20,Arjun Johnson,23,Intermediate,"['Quantum Computing', 'Speech Recognition', 'Image Processing', 'Linear Algebra', 'Computer Networks', 'Distributed Systems', 'Parallel Computing', 'Embedded Systems']","['Quantum Computing', 'Linear Algebra', 'Computer Networks', 'Embedded Systems']","['Image Processing', 'Distributed Systems', 'Speech Recognition']",Auditory,Solo,"['Night', 'Evening']"
21,Chris Bose,22,Advanced,"['Database Management', 'Operating System Internals', 'Graph Theory', 'Human-Computer Interaction', 'Programming Languages', 'Augmented Reality', 'Internet of Things', 'Web Development', 'Computer Architecture']",['Internet of Things'],"['Computer Architecture', 'Human-Computer Interaction', 'Augmented Reality']",Text-based,Group,['Evening']
22,Lucas Brown,21,Advanced,"['Digital Logic', 'Machine Learning', 'Data Structures', 'Operating System Internals', 'Wireless Networks', 'Big Data', 'Quantum Computing', 'Physics for CS', 'Ethical Hacking']","['Physics for CS', 'Big Data', 'Wireless Networks', 'Ethical Hacking']","['Data Structures', 'Machine Learning', 'Digital Logic']",Problem-Solving,Group,"['Morning', 'Night']"
23,Olivia Brown,22,Advanced,"['Database Management', 'Bioinformatics', 'Deep Learning', 'Distributed Systems', 'Cybersecurity', 'Network Security', 'Internet of Things']","['Distributed Systems', 'Database Management', 'Internet of Things']","['Deep Learning', 'Network Security', 'Cybersecurity']",Problem-Solving,Solo,['Night']
24,Sara Kim,23,Advanced,"['Operating System Internals', 'Computer Architecture', 'Deep Learning', 'Speech Recognition', 'Bioinformatics', 'Linear Algebra']","['Speech Recognition', 'Linear Algebra', 'Bioinformatics']","['Operating System Internals', 'Deep Learning', 'Computer Architecture']",Auditory,Group,"['Night', 'Evening']"
25,Jay Chen,19,Advanced,"['Augmented Reality', 'Operating System Internals', 'Human-Computer Interaction', 'Speech Recognition', 'Data Structures', 'Database Management', 'Computer Networks', 'Theory of Computation']","['Theory of Computation', 'Human-Computer Interaction']","['Data Structures', 'Speech Recognition', 'Augmented Reality']",Auditory,Solo,"['Night', 'Afternoon', 'Morning']"
26,Tara Kapoor,25,Advanced,"['Parallel Computing', 'Cloud Computing', 'Speech Recognition', 'Cybersecurity', 'Data Structures', 'Pattern Recognition', 'Computer Vision', 'Game Development', 'Deep Learning']","['Computer Vision', 'Speech Recognition', 'Cybersecurity', 'Game Development', 'Pattern Recognition']","['Data Structures', 'Cloud Computing', 'Deep Learning']",Auditory,Solo,['Morning']
27,Ethan Kumar,24,Advanced,"['Computer Architecture', 'Bioinformatics', 'Human-Computer Interaction', 'Augmented Reality', 'Linear Algebra', 'Virtual Reality', 'Speech Recognition', 'Neural Networks', 'Reinforcement Learning']","['Bioinformatics', 'Augmented Reality', 'Speech Recognition']","['Human-Computer Interaction', 'Virtual Reality', 'Linear Algebra']",Problem-Solving,Group,"['Morning', 'Night']"
28,Saanvi Smith,20,Advanced,"['Image Processing', 'Programming Languages', 'Mobile Computing', 'Augmented Reality', 'Network Security', 'Blockchains', 'Embedded Systems', 'Optimization Techniques']","['Programming Languages', 'Optimization Techniques', 'Augmented Reality', 'Embedded Systems']","['Image Processing', 'Network Security', 'Blockchains']",Problem-Solving,Solo,"['Afternoon', 'Morning']"
29,Kiara Verma,24,Advanced,"['Data Structures', 'Quantum Computing', 'Parallel Computing', 'Neural Networks', 'Computer Architecture', 'Theory of Computation', 'Game Development', 'Mobile Computing']","['Parallel Computing', 'Game Development']","['Computer Architecture', 'Theory of Computation', 'Mobile Computing']",Auditory,Group,['Night']
30,Tara Wang,19,Advanced,"['Distributed Systems', 'Quantum Computing', 'Signal Processing', 'Artificial Intelligence', 'Computer Architecture', 'Graph Theory', 'Deep Learning', 'Wireless Networks', 'Programming Languages', 'Probability & Statistics']","['Distributed Systems', 'Computer Architecture']","['Graph Theory', 'Signal Processing', 'Artificial Intelligence']",Auditory,Group,"['Morning', 'Afternoon', 'Evening']"
