user_id,name,age,study_level,preferred_subjects,strengths,weaknesses,learning_style,study_preference,availability
11,Haley Cowan,19,Intermediate,"['Algorithms', 'Reinforcement Learning', 'Neural Networks', 'Software Engineering', 'Compiler Design', 'Cybersecurity', 'Operating Systems', 'Digital Logic', 'Bioinformatics']","['Cybersecurity', 'Bioinformatics', 'Compiler Design']","['Reinforcement Learning', 'Digital Logic', 'Neural Networks', 'Algorithms', 'Operating Systems', 'Software Engineering']",Problem-Solving,Solo,"['Night', 'Night']"
12,Blake Chang,29,Intermediate,"['Database Management', 'Machine Learning', 'Theory of Computation', 'Ethical Hacking', 'Computer Vision', 'Linear Algebra']","['Theory of Computation', 'Computer Vision']","['Database Management', 'Machine Learning', 'Linear Algebra', 'Ethical Hacking']",Problem-Solving,Solo,['Night']
13,Samantha Green,18,Intermediate,"['Database Management', 'Cybersecurity', 'Web Development', 'Natural Language Processing', 'Quantum Computing', 'Embedded Systems', 'Data Structures', 'Big Data', 'Algorithms', 'Internet of Things']","['Internet of Things', 'Algorithms', 'Big Data', 'Quantum Computing']","['Database Management', 'Natural Language Processing', 'Data Structures', 'Embedded Systems', 'Cybersecurity', 'Web Development']",Problem-Solving,Solo,"['Night', 'Afternoon']"
14,James Martin,25,Intermediate,"['Database Management', 'Neural Networks', 'Quantum Computing', 'Distributed Systems', 'Compiler Design', 'Theory of Computation', 'Artificial Intelligence']","['Quantum Computing', 'Compiler Design']","['Database Management', 'Theory of Computation', 'Neural Networks', 'Artificial Intelligence', 'Distributed Systems']",Visual,Solo,['Evening']
15,Kara Richardson,23,Intermediate,"['Neural Networks', 'Ethical Hacking', 'Linear Algebra', 'Computer Networks', 'Big Data', 'Operating Systems']","['Big Data', 'Linear Algebra']","['Operating Systems', 'Computer Networks', 'Neural Networks', 'Ethical Hacking']",Text-based,Solo,['Night']
16,Christopher Cannon,30,Intermediate,"['Web Development', 'Embedded Systems', 'Quantum Computing', 'Natural Language Processing', 'Software Engineering', 'Digital Logic']","['Digital Logic', 'Quantum Computing']","['Web Development', 'Software Engineering', 'Embedded Systems', 'Natural Language Processing']",Visual,Solo,"['Afternoon', 'Evening']"
17,Frank Morris,22,Intermediate,"['Reinforcement Learning', 'Probability & Statistics', 'Computer Architecture', 'Neural Networks', 'Quantum Computing', 'Software Engineering']","['Probability & Statistics', 'Computer Architecture']","['Software Engineering', 'Quantum Computing', 'Reinforcement Learning', 'Neural Networks']",Visual,Solo,"['Morning', 'Night']"
18,Cynthia Mcdonald,24,Intermediate,"['Bioinformatics', 'Natural Language Processing', 'Digital Logic', 'Computer Networks', 'Operating Systems', 'Cloud Computing', 'Distributed Systems', 'Data Structures']","['Operating Systems', 'Distributed Systems', 'Digital Logic']","['Bioinformatics', 'Natural Language Processing', 'Data Structures', 'Cloud Computing', 'Computer Networks']",Visual,Solo,"['Night', 'Evening']"
19,Kevin Thompson,22,Intermediate,"['Probability & Statistics', 'Reinforcement Learning', 'Cryptography', 'Database Management', 'Software Engineering', 'Cybersecurity', 'Distributed Systems', 'Digital Logic', 'Internet of Things', 'Computer Networks']","['Probability & Statistics', 'Computer Networks', 'Database Management', 'Distributed Systems']","['Cybersecurity', 'Reinforcement Learning', 'Cryptography', 'Digital Logic', 'Internet of Things', 'Software Engineering']",Auditory,Solo,"['Morning', 'Afternoon']"
20,Brandon Cook,28,Intermediate,"['Big Data', 'Internet of Things', 'Algorithms', 'Natural Language Processing', 'Software Engineering', 'Ethical Hacking', 'Cryptography']","['Big Data', 'Software Engineering']","['Ethical Hacking', 'Cryptography', 'Natural Language Processing', 'Algorithms', 'Internet of Things']",Problem-Solving,Solo,"['Afternoon', 'Night', 'Afternoon']"
21,Elizabeth Stewart,25,Intermediate,"['Web Development', 'Cybersecurity', 'Distributed Systems', 'Digital Logic', 'Deep Learning', 'Computer Vision']","['Web Development', 'Cybersecurity']","['Deep Learning', 'Digital Logic', 'Distributed Systems', 'Computer Vision']",Visual,Solo,"['Night', 'Evening']"
22,Emily Perez,22,Intermediate,"['Machine Learning', 'Operating Systems', 'Big Data', 'Neural Networks', 'Computer Architecture', 'Natural Language Processing', 'Digital Logic', 'Cybersecurity', 'Database Management']","['Operating Systems', 'Big Data', 'Neural Networks']","['Database Management', 'Machine Learning', 'Natural Language Processing', 'Computer Architecture', 'Digital Logic', 'Cybersecurity']",Visual,Solo,"['Night', 'Morning']"
23,Robert Hughes,30,Intermediate,"['Cloud Computing', 'Ethical Hacking', 'Database Management', 'Quantum Computing', 'Embedded Systems', 'Operating Systems', 'Cybersecurity', 'Reinforcement Learning', 'Algorithms', 'Artificial Intelligence']","['Operating Systems', 'Cloud Computing', 'Database Management', 'Artificial Intelligence']","['Ethical Hacking', 'Reinforcement Learning', 'Quantum Computing', 'Algorithms', 'Embedded Systems', 'Cybersecurity']",Auditory,Solo,"['Afternoon', 'Night', 'Evening']"
24,Jeanne Pena,29,Intermediate,"['Database Management', 'Cryptography', 'Compiler Design', 'Artificial Intelligence', 'Algorithms', 'Bioinformatics', 'Web Development', 'Cybersecurity', 'Computer Networks']","['Bioinformatics', 'Cryptography', 'Database Management']","['Compiler Design', 'Artificial Intelligence', 'Algorithms', 'Computer Networks', 'Cybersecurity', 'Web Development']",Text-based,Solo,"['Morning', 'Morning', 'Night']"
25,Mrs. Darlene Johnson,28,Intermediate,"['Computer Networks', 'Cybersecurity', 'Computer Architecture', 'Algorithms', 'Theory of Computation', 'Natural Language Processing', 'Neural Networks']","['Algorithms', 'Computer Architecture']","['Theory of Computation', 'Natural Language Processing', 'Neural Networks', 'Computer Networks', 'Cybersecurity']",Auditory,Solo,['Evening']
26,George Day,26,Advanced,"['Computer Vision', 'Human-Computer Interaction', 'Computer Networks', 'Algorithms', 'Blockchains', 'Internet of Things', 'Deep Learning', 'Virtual Reality']","['Computer Vision', 'Blockchains', 'Virtual Reality', 'Algorithms']","['Internet of Things', 'Deep Learning', 'Computer Networks', 'Human-Computer Interaction']",Text-based,Solo,"['Afternoon', 'Morning']"
27,Michelle Swanson,27,Advanced,"['Natural Language Processing', 'Quantum Computing', 'Computer Networks', 'Cryptography', 'Operating System Internals', 'Reinforcement Learning', 'Software Testing', 'Mathematics for CS', 'Parallel Computing', 'Machine Learning', 'Pattern Recognition', 'Computer Architecture']","['Mathematics for CS', 'Reinforcement Learning', 'Cryptography', 'Quantum Computing', 'Pattern Recognition', 'Machine Learning', 'Natural Language Processing']","['Operating System Internals', 'Computer Architecture', 'Computer Networks', 'Parallel Computing', 'Software Testing']",Auditory,Solo,['Morning']
28,Mr. Jordan Acevedo,23,Advanced,"['Data Mining', 'Deep Learning', 'Computer Networks', 'Cryptography', 'Virtual Reality', 'Artificial Intelligence', 'Database Management', 'Programming Languages', 'Machine Learning', 'Signal Processing', 'Bioinformatics']","['Programming Languages', 'Database Management', 'Cryptography', 'Bioinformatics', 'Computer Networks', 'Artificial Intelligence']","['Virtual Reality', 'Deep Learning', 'Machine Learning', 'Data Mining', 'Signal Processing']",Visual,Solo,"['Morning', 'Evening']"
29,Jennifer Meyers,28,Advanced,"['Network Security', 'Internet of Things', 'Cybersecurity', 'Physics for CS', 'Game Development', 'Database Management', 'Natural Language Processing', 'Graph Theory', 'Parallel Computing', 'Augmented Reality', 'Compiler Design']","['Physics for CS', 'Network Security', 'Game Development', 'Parallel Computing', 'Database Management', 'Augmented Reality']","['Compiler Design', 'Natural Language Processing', 'Graph Theory', 'Internet of Things', 'Cybersecurity']",Auditory,Solo,"['Afternoon', 'Afternoon']"
30,Jennifer Jones,24,Advanced,"['Graph Theory', 'Deep Learning', 'Human-Computer Interaction', 'Mobile Computing', 'Internet of Things', 'Pattern Recognition', 'Neural Networks', 'Bioinformatics', 'Algorithms', 'Web Development', 'Artificial Intelligence', 'Digital Logic']","['Deep Learning', 'Algorithms', 'Human-Computer Interaction', 'Graph Theory', 'Digital Logic', 'Internet of Things', 'Neural Networks']","['Pattern Recognition', 'Bioinformatics', 'Mobile Computing', 'Artificial Intelligence', 'Web Development']",Auditory,Solo,"['Night', 'Night', 'Morning']"
31,Michael Patterson,27,Advanced,"['Signal Processing', 'Probability & Statistics', 'Optimization Techniques', 'Cybersecurity', 'Theory of Computation', 'Software Testing', 'Artificial Intelligence', 'Mobile Computing', 'Parallel Computing', 'Computer Vision', 'Wireless Networks']","['Artificial Intelligence', 'Mobile Computing', 'Probability & Statistics', 'Signal Processing', 'Computer Vision', 'Cybersecurity']","['Parallel Computing', 'Theory of Computation', 'Optimization Techniques', 'Wireless Networks', 'Software Testing']",Problem-Solving,Solo,"['Night', 'Afternoon', 'Morning']"
32,Darin Lopez,30,Advanced,"['Machine Learning', 'Linear Algebra', 'Computer Networks', 'Mathematics for CS', 'Programming Languages', 'Theory of Computation', 'Reinforcement Learning', 'Operating Systems', 'Internet of Things', 'Blockchains', 'Data Structures', 'Cybersecurity']","['Theory of Computation', 'Data Structures', 'Mathematics for CS', 'Reinforcement Learning', 'Computer Networks', 'Machine Learning', 'Operating Systems']","['Linear Algebra', 'Blockchains', 'Programming Languages', 'Internet of Things', 'Cybersecurity']",Visual,Solo,"['Night', 'Night']"
33,Phillip Long,30,Advanced,"['Probability & Statistics', 'Database Management', 'Ethical Hacking', 'Digital Logic', 'Network Security', 'Cybersecurity', 'Image Processing', 'Mathematics for CS', 'Computer Networks', 'Operating System Internals', 'Augmented Reality', 'Human-Computer Interaction']","['Mathematics for CS', 'Image Processing', 'Human-Computer Interaction', 'Computer Networks', 'Cybersecurity', 'Operating System Internals', 'Ethical Hacking']","['Probability & Statistics', 'Database Management', 'Digital Logic', 'Network Security', 'Augmented Reality']",Auditory,Solo,"['Evening', 'Morning']"
34,Donald Mason,27,Advanced,"['Augmented Reality', 'Human-Computer Interaction', 'Cryptography', 'Theory of Computation', 'Machine Learning', 'Operating Systems', 'Distributed Systems', 'Quantum Computing', 'Physics for CS', 'Neural Networks', 'Embedded Systems']","['Augmented Reality', 'Operating Systems', 'Human-Computer Interaction', 'Embedded Systems', 'Distributed Systems', 'Physics for CS']","['Cryptography', 'Quantum Computing', 'Machine Learning', 'Theory of Computation', 'Neural Networks']",Problem-Solving,Solo,"['Night', 'Afternoon', 'Night']"
35,James Evans,20,Advanced,"['Physics for CS', 'Cloud Computing', 'Database Management', 'Pattern Recognition', 'Computer Networks', 'Data Mining', 'Web Development', 'Speech Recognition', 'Software Engineering', 'Signal Processing', 'Internet of Things', 'Augmented Reality']","['Computer Networks', 'Physics for CS', 'Speech Recognition', 'Software Engineering', 'Augmented Reality', 'Web Development', 'Internet of Things']","['Pattern Recognition', 'Database Management', 'Signal Processing', 'Data Mining', 'Cloud Computing']",Text-based,Solo,"['Evening', 'Evening', 'Night']"
36,Jennifer Martinez,22,Advanced,"['Data Mining', 'Artificial Intelligence', 'Software Testing', 'Blockchains', 'Cybersecurity', 'Human-Computer Interaction', 'Computer Vision', 'Web Development']","['Computer Vision', 'Software Testing', 'Human-Computer Interaction', 'Web Development']","['Blockchains', 'Artificial Intelligence', 'Data Mining', 'Cybersecurity']",Auditory,Solo,"['Evening', 'Night', 'Afternoon']"
37,Michael Cooper,23,Advanced,"['Cryptography', 'Big Data', 'Mobile Computing', 'Operating System Internals', 'Distributed Systems', 'Image Processing', 'Internet of Things', 'Compiler Design', 'Linear Algebra', 'Cybersecurity']","['Cybersecurity', 'Distributed Systems', 'Compiler Design', 'Internet of Things', 'Image Processing', 'Operating System Internals']","['Cryptography', 'Linear Algebra', 'Mobile Computing', 'Big Data']",Visual,Solo,"['Evening', 'Evening', 'Night']"
38,Kelly Mitchell DDS,22,Advanced,"['Cloud Computing', 'Artificial Intelligence', 'Probability & Statistics', 'Mathematics for CS', 'Mobile Computing', 'Computer Networks', 'Cryptography', 'Quantum Computing', 'Computer Vision']","['Mathematics for CS', 'Cloud Computing', 'Artificial Intelligence', 'Computer Vision', 'Mobile Computing']","['Computer Networks', 'Cryptography', 'Quantum Computing', 'Probability & Statistics']",Auditory,Solo,['Afternoon']
39,Heather Myers,19,Advanced,"['Software Testing', 'Deep Learning', 'Distributed Systems', 'Probability & Statistics', 'Algorithms', 'Operating System Internals', 'Machine Learning', 'Operating Systems', 'Mathematics for CS', 'Optimization Techniques']","['Algorithms', 'Distributed Systems', 'Operating System Internals', 'Mathematics for CS', 'Software Testing', 'Operating Systems']","['Deep Learning', 'Machine Learning', 'Optimization Techniques', 'Probability & Statistics']",Auditory,Solo,['Morning']
40,Cassandra Brooks,23,Advanced,"['Computer Architecture', 'Network Security', 'Algorithms', 'Blockchains', 'Bioinformatics', 'Distributed Systems', 'Database Management', 'Ethical Hacking']","['Algorithms', 'Distributed Systems', 'Network Security', 'Ethical Hacking']","['Database Management', 'Blockchains', 'Bioinformatics', 'Computer Architecture']",Auditory,Solo,['Evening']
