user_id,name,age,study_level,preferred_subjects,strengths,weaknesses,learning_style,study_preference,availability
11,Oscar Patel,22,Intermediate,"['Distributed Systems', 'Bioinformatics', 'Theory of Computation', 'Algorithms', 'Digital Logic', 'Computer Vision', 'Embedded Systems']","['Computer Vision', 'Theory of Computation']","['Bioinformatics', 'Digital Logic', 'Algorithms', 'Embedded Systems', 'Distributed Systems']",Visual,Solo,"['Evening', 'Morning', 'Evening']"
12,Brianna Smith,20,Beginner,"['Machine Learning', 'Computer Networks', 'Probability & Statistics', 'Cybersecurity', 'Software Engineering', 'Cryptography', 'Database Management']","['Computer Networks', 'Cybersecurity']","['Probability & Statistics', 'Database Management', 'Cryptography', 'Machine Learning', 'Software Engineering']",Visual,Group,['Night']
13,Dr. Bonnie Coleman,20,Beginner,"['Cryptography', 'Computer Networks', 'Cybersecurity', 'Compiler Design', 'Data Structures', 'Algorithms', 'Artificial Intelligence']","['Computer Networks', 'Data Structures']","['Compiler Design', 'Cryptography', 'Artificial Intelligence', 'Algorithms', 'Cybersecurity']",Problem-Solving,Group,['Evening']
14,Shelley Smith,19,Intermediate,"['Embedded Systems', 'Computer Vision', 'Internet of Things', 'Web Development', 'Cryptography', 'Deep Learning', 'Distributed Systems']","['Internet of Things', 'Cryptography']","['Deep Learning', 'Computer Vision', 'Embedded Systems', 'Web Development', 'Distributed Systems']",Visual,Solo,"['Night', 'Morning', 'Night']"
15,Johnathan Payne,18,Beginner,"['Computer Architecture', 'Data Structures', 'Algorithms', 'Machine Learning', 'Deep Learning', 'Computer Networks', 'Cybersecurity', 'Linear Algebra']","['Machine Learning', 'Deep Learning', 'Computer Networks']","['Linear Algebra', 'Computer Architecture', 'Data Structures', 'Algorithms', 'Cybersecurity']",Visual,Solo,['Night']
16,Kimberly Johnson,20,Intermediate,"['Cloud Computing', 'Digital Logic', 'Probability & Statistics', 'Computer Architecture', 'Software Engineering', 'Cybersecurity', 'Natural Language Processing', 'Embedded Systems']","['Computer Architecture', 'Natural Language Processing', 'Cybersecurity']","['Probability & Statistics', 'Digital Logic', 'Cloud Computing', 'Embedded Systems', 'Software Engineering']",Text-based,Solo,"['Night', 'Evening', 'Night']"
17,Austin Perez,26,Advanced,"['Programming Languages', 'Cybersecurity', 'Embedded Systems', 'Software Testing', 'Quantum Computing', 'Ethical Hacking', 'Algorithms', 'Computer Architecture', 'Software Engineering', 'Parallel Computing', 'Web Development', 'Internet of Things']","['Programming Languages', 'Cybersecurity', 'Software Engineering', 'Algorithms', 'Quantum Computing', 'Parallel Computing', 'Embedded Systems']","['Ethical Hacking', 'Computer Architecture', 'Internet of Things', 'Software Testing', 'Web Development']",Auditory,Solo,['Night']
18,Jennifer Allen,20,Beginner,"['Computer Networks', 'Machine Learning', 'Deep Learning', 'Software Engineering', 'Operating Systems', 'Cryptography', 'Database Management', 'Computer Architecture']","['Computer Architecture', 'Cryptography', 'Software Engineering']","['Database Management', 'Deep Learning', 'Machine Learning', 'Operating Systems', 'Computer Networks']",Problem-Solving,Solo,"['Afternoon', 'Morning', 'Evening']"
19,Jeff Smith,27,Advanced,"['Software Testing', 'Operating Systems', 'Signal Processing', 'Linear Algebra', 'Algorithms', 'Internet of Things', 'Big Data', 'Machine Learning', 'Theory of Computation', 'Wireless Networks', 'Cloud Computing', 'Augmented Reality']","['Algorithms', 'Signal Processing', 'Big Data', 'Cloud Computing', 'Augmented Reality', 'Software Testing', 'Internet of Things']","['Linear Algebra', 'Machine Learning', 'Theory of Computation', 'Operating Systems', 'Wireless Networks']",Auditory,Solo,"['Evening', 'Evening']"
20,Laura Warner,29,Intermediate,"['Computer Architecture', 'Reinforcement Learning', 'Deep Learning', 'Web Development', 'Distributed Systems', 'Algorithms', 'Embedded Systems']","['Web Development', 'Algorithms']","['Reinforcement Learning', 'Deep Learning', 'Computer Architecture', 'Embedded Systems', 'Distributed Systems']",Problem-Solving,Solo,"['Evening', 'Afternoon']"
21,Justin Boyle,27,Beginner,"['Artificial Intelligence', 'Deep Learning', 'Data Structures', 'Probability & Statistics', 'Compiler Design', 'Operating Systems', 'Linear Algebra', 'Computer Architecture']","['Artificial Intelligence', 'Data Structures', 'Deep Learning']","['Linear Algebra', 'Probability & Statistics', 'Compiler Design', 'Computer Architecture', 'Operating Systems']",Problem-Solving,Group,"['Afternoon', 'Evening', 'Morning']"
22,Heather Aguirre,22,Intermediate,"['Software Engineering', 'Reinforcement Learning', 'Internet of Things', 'Embedded Systems', 'Digital Logic', 'Distributed Systems', 'Computer Architecture']","['Digital Logic', 'Embedded Systems']","['Reinforcement Learning', 'Computer Architecture', 'Internet of Things', 'Software Engineering', 'Distributed Systems']",Problem-Solving,Solo,"['Night', 'Night']"
23,Diane Smith,24,Advanced,"['Distributed Systems', 'Digital Logic', 'Software Testing', 'Optimization Techniques', 'Speech Recognition', 'Image Processing', 'Natural Language Processing', 'Computer Vision', 'Data Structures']","['Natural Language Processing', 'Image Processing', 'Optimization Techniques', 'Speech Recognition', 'Digital Logic']","['Computer Vision', 'Software Testing', 'Distributed Systems', 'Data Structures']",Visual,Solo,"['Evening', 'Evening', 'Evening']"
24,Jocelyn Gomez,19,Advanced,"['Deep Learning', 'Software Engineering', 'Mobile Computing', 'Blockchains', 'Algorithms', 'Operating Systems', 'Linear Algebra', 'Mathematics for CS', 'Programming Languages']","['Programming Languages', 'Operating Systems', 'Algorithms', 'Linear Algebra', 'Software Engineering']","['Deep Learning', 'Blockchains', 'Mobile Computing', 'Mathematics for CS']",Auditory,Solo,['Evening']
25,Allison Wright,29,Advanced,"['Mathematics for CS', 'Reinforcement Learning', 'Probability & Statistics', 'Wireless Networks', 'Signal Processing', 'Web Development', 'Machine Learning', 'Cryptography', 'Game Development', 'Augmented Reality', 'Embedded Systems']","['Cryptography', 'Web Development', 'Signal Processing', 'Wireless Networks', 'Game Development', 'Embedded Systems']","['Reinforcement Learning', 'Probability & Statistics', 'Mathematics for CS', 'Machine Learning', 'Augmented Reality']",Text-based,Solo,['Morning']
26,Brian Wheeler,18,Advanced,"['Web Development', 'Blockchains', 'Compiler Design', 'Cloud Computing', 'Distributed Systems', 'Bioinformatics', 'Linear Algebra', 'Graph Theory', 'Data Structures', 'Theory of Computation', 'Digital Logic', 'Software Testing']","['Digital Logic', 'Bioinformatics', 'Graph Theory', 'Distributed Systems', 'Theory of Computation', 'Linear Algebra', 'Blockchains']","['Compiler Design', 'Data Structures', 'Cloud Computing', 'Software Testing', 'Web Development']",Auditory,Solo,['Night']
27,Gabriela Walsh,20,Intermediate,"['Machine Learning', 'Neural Networks', 'Ethical Hacking', 'Cloud Computing', 'Cryptography', 'Computer Networks', 'Bioinformatics', 'Computer Vision', 'Linear Algebra', 'Deep Learning']","['Deep Learning', 'Machine Learning', 'Neural Networks', 'Cloud Computing']","['Bioinformatics', 'Ethical Hacking', 'Linear Algebra', 'Cryptography', 'Computer Vision', 'Computer Networks']",Auditory,Solo,"['Night', 'Night']"
28,Christopher Edwards,24,Intermediate,"['Digital Logic', 'Embedded Systems', 'Data Structures', 'Machine Learning', 'Computer Architecture', 'Database Management', 'Artificial Intelligence']","['Database Management', 'Artificial Intelligence']","['Machine Learning', 'Computer Architecture', 'Data Structures', 'Digital Logic', 'Embedded Systems']",Auditory,Solo,"['Evening', 'Morning']"
29,Jacob Turner,29,Intermediate,"['Ethical Hacking', 'Big Data', 'Algorithms', 'Linear Algebra', 'Software Engineering', 'Web Development', 'Computer Networks']","['Ethical Hacking', 'Computer Networks']","['Linear Algebra', 'Big Data', 'Algorithms', 'Software Engineering', 'Web Development']",Problem-Solving,Solo,"['Evening', 'Evening']"
30,Michael Hill,20,Intermediate,"['Probability & Statistics', 'Ethical Hacking', 'Database Management', 'Artificial Intelligence', 'Embedded Systems', 'Cryptography', 'Software Engineering', 'Linear Algebra']","['Software Engineering', 'Ethical Hacking', 'Linear Algebra']","['Probability & Statistics', 'Database Management', 'Cryptography', 'Artificial Intelligence', 'Embedded Systems']",Visual,Solo,"['Evening', 'Night']"
31,Crystal Doyle,24,Beginner,"['Deep Learning', 'Algorithms', 'Probability & Statistics', 'Operating Systems', 'Artificial Intelligence', 'Database Management']","['Database Management', 'Algorithms']","['Operating Systems', 'Deep Learning', 'Artificial Intelligence', 'Probability & Statistics']",Visual,Solo,['Evening']
32,Susan Pena,22,Beginner,"['Cybersecurity', 'Artificial Intelligence', 'Database Management', 'Linear Algebra', 'Deep Learning', 'Data Structures']","['Deep Learning', 'Linear Algebra']","['Database Management', 'Artificial Intelligence', 'Cybersecurity', 'Data Structures']",Auditory,Group,"['Morning', 'Morning', 'Night']"
33,Melissa Davis,20,Intermediate,"['Ethical Hacking', 'Reinforcement Learning', 'Embedded Systems', 'Natural Language Processing', 'Machine Learning', 'Probability & Statistics']","['Natural Language Processing', 'Reinforcement Learning']","['Machine Learning', 'Ethical Hacking', 'Embedded Systems', 'Probability & Statistics']",Auditory,Solo,"['Night', 'Evening']"
34,Penny Johnson,26,Advanced,"['Network Security', 'Operating System Internals', 'Data Structures', 'Linear Algebra', 'Optimization Techniques', 'Theory of Computation', 'Probability & Statistics', 'Software Engineering', 'Augmented Reality', 'Bioinformatics']","['Network Security', 'Probability & Statistics', 'Theory of Computation', 'Software Engineering', 'Linear Algebra', 'Augmented Reality']","['Optimization Techniques', 'Bioinformatics', 'Operating System Internals', 'Data Structures']",Problem-Solving,Solo,['Evening']
35,Matthew Ferguson,23,Beginner,"['Algorithms', 'Cybersecurity', 'Machine Learning', 'Cryptography', 'Linear Algebra', 'Database Management', 'Probability & Statistics']","['Probability & Statistics', 'Algorithms']","['Linear Algebra', 'Database Management', 'Cryptography', 'Machine Learning', 'Cybersecurity']",Text-based,Group,"['Afternoon', 'Night', 'Night']"
36,Kevin Garcia,23,Beginner,"['Probability & Statistics', 'Computer Architecture', 'Artificial Intelligence', 'Algorithms', 'Deep Learning', 'Linear Algebra', 'Compiler Design', 'Machine Learning']","['Deep Learning', 'Linear Algebra', 'Compiler Design']","['Probability & Statistics', 'Machine Learning', 'Computer Architecture', 'Artificial Intelligence', 'Algorithms']",Visual,Solo,"['Night', 'Afternoon']"
37,Joseph Carlson,27,Intermediate,"['Software Engineering', 'Neural Networks', 'Algorithms', 'Reinforcement Learning', 'Compiler Design', 'Database Management', 'Artificial Intelligence', 'Cybersecurity']","['Cybersecurity', 'Database Management', 'Artificial Intelligence']","['Reinforcement Learning', 'Compiler Design', 'Neural Networks', 'Algorithms', 'Software Engineering']",Auditory,Solo,"['Evening', 'Evening', 'Evening']"
38,Jeffrey Hunter,23,Advanced,"['Deep Learning', 'Machine Learning', 'Data Structures', 'Computer Architecture', 'Web Development', 'Software Testing', 'Internet of Things', 'Wireless Networks']","['Data Structures', 'Internet of Things', 'Web Development', 'Wireless Networks']","['Deep Learning', 'Software Testing', 'Machine Learning', 'Computer Architecture']",Auditory,Solo,"['Night', 'Evening']"
39,Dylan Scott,26,Beginner,"['Database Management', 'Probability & Statistics', 'Computer Networks', 'Compiler Design', 'Software Engineering', 'Data Structures', 'Linear Algebra', 'Operating Systems']","['Compiler Design', 'Operating Systems', 'Database Management']","['Linear Algebra', 'Probability & Statistics', 'Data Structures', 'Computer Networks', 'Software Engineering']",Auditory,Solo,"['Afternoon', 'Morning', 'Evening']"
40,Emily Ross,30,Intermediate,"['Machine Learning', 'Digital Logic', 'Neural Networks', 'Reinforcement Learning', 'Cloud Computing', 'Computer Architecture', 'Data Structures']","['Data Structures', 'Computer Architecture']","['Reinforcement Learning', 'Machine Learning', 'Digital Logic', 'Cloud Computing', 'Neural Networks']",Text-based,Solo,"['Night', 'Evening']"
41,Randy Meyer,27,Beginner,"['Software Engineering', 'Cybersecurity', 'Computer Networks', 'Linear Algebra', 'Compiler Design', 'Probability & Statistics', 'Data Structures', 'Cryptography']","['Probability & Statistics', 'Linear Algebra', 'Data Structures']","['Cryptography', 'Compiler Design', 'Computer Networks', 'Software Engineering', 'Cybersecurity']",Auditory,Group,['Night']
42,Donald Mason,27,Advanced,"['Augmented Reality', 'Human-Computer Interaction', 'Cryptography', 'Theory of Computation', 'Machine Learning', 'Operating Systems', 'Distributed Systems', 'Quantum Computing', 'Physics for CS', 'Neural Networks', 'Embedded Systems']","['Augmented Reality', 'Operating Systems', 'Human-Computer Interaction', 'Embedded Systems', 'Distributed Systems', 'Physics for CS']","['Cryptography', 'Quantum Computing', 'Machine Learning', 'Theory of Computation', 'Neural Networks']",Problem-Solving,Solo,"['Night', 'Afternoon', 'Night']"
43,Eric Gonzalez,29,Intermediate,"['Deep Learning', 'Ethical Hacking', 'Computer Vision', 'Algorithms', 'Quantum Computing', 'Artificial Intelligence', 'Software Engineering', 'Big Data']","['Artificial Intelligence', 'Ethical Hacking', 'Big Data']","['Deep Learning', 'Quantum Computing', 'Computer Vision', 'Algorithms', 'Software Engineering']",Visual,Solo,['Evening']
44,Justin Sandoval,20,Advanced,"['Operating System Internals', 'Graph Theory', 'Computer Architecture', 'Game Development', 'Linear Algebra', 'Deep Learning', 'Embedded Systems', 'Compiler Design', 'Parallel Computing', 'Artificial Intelligence', 'Optimization Techniques']","['Linear Algebra', 'Parallel Computing', 'Computer Architecture', 'Graph Theory', 'Deep Learning', 'Operating System Internals']","['Compiler Design', 'Game Development', 'Artificial Intelligence', 'Optimization Techniques', 'Embedded Systems']",Text-based,Solo,['Evening']
45,Ashley Vang,19,Intermediate,"['Distributed Systems', 'Natural Language Processing', 'Deep Learning', 'Neural Networks', 'Big Data', 'Database Management', 'Cybersecurity']","['Deep Learning', 'Natural Language Processing']","['Database Management', 'Neural Networks', 'Big Data', 'Cybersecurity', 'Distributed Systems']",Text-based,Solo,['Night']
46,Kimberly Anderson,29,Intermediate,"['Distributed Systems', 'Reinforcement Learning', 'Bioinformatics', 'Embedded Systems', 'Database Management', 'Algorithms', 'Theory of Computation', 'Digital Logic', 'Natural Language Processing', 'Linear Algebra']","['Distributed Systems', 'Algorithms', 'Bioinformatics', 'Theory of Computation']","['Linear Algebra', 'Reinforcement Learning', 'Database Management', 'Natural Language Processing', 'Digital Logic', 'Embedded Systems']",Text-based,Solo,['Afternoon']
47,Mark Alexander,24,Intermediate,"['Cloud Computing', 'Neural Networks', 'Theory of Computation', 'Distributed Systems', 'Internet of Things', 'Linear Algebra', 'Deep Learning', 'Cybersecurity', 'Big Data', 'Compiler Design']","['Cloud Computing', 'Theory of Computation', 'Distributed Systems', 'Compiler Design']","['Linear Algebra', 'Deep Learning', 'Neural Networks', 'Big Data', 'Internet of Things', 'Cybersecurity']",Visual,Solo,"['Evening', 'Evening', 'Evening']"
48,Amy Gray,30,Intermediate,"['Quantum Computing', 'Ethical Hacking', 'Digital Logic', 'Operating Systems', 'Software Engineering', 'Machine Learning', 'Computer Vision']","['Machine Learning', 'Digital Logic']","['Ethical Hacking', 'Quantum Computing', 'Computer Vision', 'Operating Systems', 'Software Engineering']",Auditory,Solo,"['Evening', 'Morning']"
49,Christopher Smith,21,Intermediate,"['Operating Systems', 'Algorithms', 'Ethical Hacking', 'Computer Networks', 'Reinforcement Learning', 'Compiler Design', 'Theory of Computation', 'Neural Networks', 'Quantum Computing']","['Ethical Hacking', 'Theory of Computation', 'Computer Networks']","['Reinforcement Learning', 'Compiler Design', 'Quantum Computing', 'Neural Networks', 'Algorithms', 'Operating Systems']",Problem-Solving,Solo,"['Afternoon', 'Night', 'Evening']"
50,Cassandra Brooks,23,Advanced,"['Computer Architecture', 'Network Security', 'Algorithms', 'Blockchains', 'Bioinformatics', 'Distributed Systems', 'Database Management', 'Ethical Hacking']","['Algorithms', 'Distributed Systems', 'Network Security', 'Ethical Hacking']","['Database Management', 'Blockchains', 'Bioinformatics', 'Computer Architecture']",Auditory,Solo,['Evening']
51,Angela Burns,18,Advanced,"['Cryptography', 'Linear Algebra', 'Data Structures', 'Human-Computer Interaction', 'Programming Languages', 'Speech Recognition', 'Neural Networks', 'Mobile Computing', 'Ethical Hacking', 'Quantum Computing', 'Data Mining', 'Game Development']","['Quantum Computing', 'Human-Computer Interaction', 'Linear Algebra', 'Game Development', 'Mobile Computing', 'Neural Networks', 'Data Mining']","['Ethical Hacking', 'Cryptography', 'Speech Recognition', 'Data Structures', 'Programming Languages']",Text-based,Solo,"['Evening', 'Evening']"
52,Anita Roberts,25,Intermediate,"['Web Development', 'Probability & Statistics', 'Deep Learning', 'Embedded Systems', 'Big Data', 'Linear Algebra', 'Reinforcement Learning']","['Reinforcement Learning', 'Big Data']","['Linear Algebra', 'Probability & Statistics', 'Deep Learning', 'Embedded Systems', 'Web Development']",Visual,Solo,"['Night', 'Night']"
53,Cathy Jacobs,25,Intermediate,"['Natural Language Processing', 'Digital Logic', 'Compiler Design', 'Big Data', 'Operating Systems', 'Deep Learning', 'Neural Networks', 'Ethical Hacking', 'Artificial Intelligence', 'Distributed Systems']","['Neural Networks', 'Deep Learning', 'Digital Logic', 'Distributed Systems']","['Ethical Hacking', 'Compiler Design', 'Natural Language Processing', 'Artificial Intelligence', 'Big Data', 'Operating Systems']",Text-based,Solo,['Night']
54,Samantha Peters,29,Intermediate,"['Cryptography', 'Algorithms', 'Internet of Things', 'Probability & Statistics', 'Operating Systems', 'Ethical Hacking', 'Bioinformatics']","['Internet of Things', 'Algorithms']","['Bioinformatics', 'Ethical Hacking', 'Probability & Statistics', 'Cryptography', 'Operating Systems']",Visual,Solo,"['Morning', 'Afternoon']"
55,Christopher Mooney,21,Beginner,"['Operating Systems', 'Computer Architecture', 'Deep Learning', 'Cybersecurity', 'Data Structures']","['Deep Learning', 'Computer Architecture']","['Operating Systems', 'Cybersecurity', 'Data Structures']",Visual,Group,"['Evening', 'Evening']"
56,Jennifer Martin,24,Intermediate,"['Computer Architecture', 'Digital Logic', 'Software Engineering', 'Ethical Hacking', 'Cryptography', 'Internet of Things', 'Cloud Computing', 'Probability & Statistics', 'Computer Networks', 'Artificial Intelligence']","['Computer Architecture', 'Software Engineering', 'Digital Logic', 'Internet of Things']","['Ethical Hacking', 'Probability & Statistics', 'Cryptography', 'Cloud Computing', 'Artificial Intelligence', 'Computer Networks']",Visual,Solo,"['Evening', 'Night', 'Night']"
57,Monica Payne,28,Advanced,"['Digital Logic', 'Ethical Hacking', 'Cloud Computing', 'Embedded Systems', 'Data Structures', 'Graph Theory', 'Cybersecurity', 'Blockchains']","['Graph Theory', 'Embedded Systems', 'Cybersecurity', 'Data Structures']","['Digital Logic', 'Cloud Computing', 'Ethical Hacking', 'Blockchains']",Auditory,Solo,"['Evening', 'Evening']"
58,Rebecca Coleman,20,Beginner,"['Artificial Intelligence', 'Algorithms', 'Computer Architecture', 'Computer Networks', 'Data Structures', 'Cryptography', 'Machine Learning']","['Data Structures', 'Computer Networks']","['Cryptography', 'Machine Learning', 'Computer Architecture', 'Artificial Intelligence', 'Algorithms']",Text-based,Group,"['Evening', 'Afternoon', 'Afternoon']"
59,Julie Nguyen,22,Beginner,"['Data Structures', 'Algorithms', 'Computer Architecture', 'Linear Algebra', 'Compiler Design']","['Compiler Design', 'Computer Architecture']","['Linear Algebra', 'Algorithms', 'Data Structures']",Problem-Solving,Group,['Evening']
60,Edward Knox,29,Intermediate,"['Internet of Things', 'Distributed Systems', 'Computer Networks', 'Natural Language Processing', 'Big Data', 'Cybersecurity', 'Embedded Systems', 'Reinforcement Learning', 'Operating Systems', 'Probability & Statistics']","['Embedded Systems', 'Computer Networks', 'Internet of Things', 'Cybersecurity']","['Reinforcement Learning', 'Probability & Statistics', 'Natural Language Processing', 'Big Data', 'Operating Systems', 'Distributed Systems']",Auditory,Solo,"['Night', 'Evening', 'Night']"
61,Julia Clark,22,Advanced,"['Game Development', 'Theory of Computation', 'Quantum Computing', 'Cloud Computing', 'Software Engineering', 'Programming Languages', 'Physics for CS', 'Augmented Reality']","['Programming Languages', 'Augmented Reality', 'Theory of Computation', 'Cloud Computing']","['Software Engineering', 'Physics for CS', 'Quantum Computing', 'Game Development']",Text-based,Solo,"['Evening', 'Afternoon', 'Evening']"
62,Robin Collins,30,Intermediate,"['Data Structures', 'Big Data', 'Bioinformatics', 'Computer Vision', 'Computer Networks', 'Distributed Systems', 'Web Development']","['Data Structures', 'Distributed Systems']","['Bioinformatics', 'Computer Vision', 'Big Data', 'Computer Networks', 'Web Development']",Auditory,Solo,"['Afternoon', 'Afternoon', 'Evening']"
63,Susan Peterson,21,Intermediate,"['Cloud Computing', 'Deep Learning', 'Cybersecurity', 'Reinforcement Learning', 'Artificial Intelligence', 'Quantum Computing', 'Computer Vision', 'Ethical Hacking', 'Data Structures']","['Artificial Intelligence', 'Data Structures', 'Quantum Computing']","['Ethical Hacking', 'Reinforcement Learning', 'Deep Learning', 'Computer Vision', 'Cloud Computing', 'Cybersecurity']",Text-based,Solo,"['Evening', 'Night']"
64,Keith Sanchez,19,Beginner,"['Linear Algebra', 'Artificial Intelligence', 'Deep Learning', 'Database Management', 'Operating Systems', 'Data Structures', 'Algorithms', 'Software Engineering']","['Linear Algebra', 'Operating Systems', 'Deep Learning']","['Database Management', 'Data Structures', 'Artificial Intelligence', 'Algorithms', 'Software Engineering']",Visual,Group,"['Night', 'Night']"
65,Dawn Washington,29,Intermediate,"['Algorithms', 'Cryptography', 'Deep Learning', 'Distributed Systems', 'Artificial Intelligence', 'Embedded Systems', 'Reinforcement Learning', 'Ethical Hacking']","['Reinforcement Learning', 'Artificial Intelligence', 'Algorithms']","['Ethical Hacking', 'Deep Learning', 'Cryptography', 'Embedded Systems', 'Distributed Systems']",Text-based,Solo,"['Evening', 'Evening', 'Evening']"
66,Timothy Strickland,25,Beginner,"['Artificial Intelligence', 'Probability & Statistics', 'Linear Algebra', 'Database Management', 'Operating Systems', 'Deep Learning', 'Algorithms']","['Probability & Statistics', 'Database Management']","['Linear Algebra', 'Deep Learning', 'Artificial Intelligence', 'Algorithms', 'Operating Systems']",Text-based,Group,"['Evening', 'Night', 'Afternoon']"
67,Robert Larson,30,Beginner,"['Cybersecurity', 'Database Management', 'Artificial Intelligence', 'Software Engineering', 'Computer Networks']","['Cybersecurity', 'Database Management']","['Software Engineering', 'Computer Networks', 'Artificial Intelligence']",Text-based,Group,"['Night', 'Evening', 'Night']"
68,Veronica Hamilton,23,Intermediate,"['Big Data', 'Database Management', 'Reinforcement Learning', 'Computer Vision', 'Cryptography', 'Operating Systems', 'Deep Learning', 'Machine Learning', 'Probability & Statistics', 'Embedded Systems']","['Operating Systems', 'Machine Learning', 'Big Data', 'Computer Vision']","['Reinforcement Learning', 'Probability & Statistics', 'Database Management', 'Deep Learning', 'Cryptography', 'Embedded Systems']",Visual,Solo,"['Night', 'Night', 'Night']"
69,Kelly Thompson,25,Beginner,"['Machine Learning', 'Operating Systems', 'Data Structures', 'Software Engineering', 'Cryptography', 'Database Management', 'Linear Algebra', 'Algorithms']","['Software Engineering', 'Database Management', 'Machine Learning']","['Linear Algebra', 'Cryptography', 'Data Structures', 'Algorithms', 'Operating Systems']",Text-based,Group,"['Night', 'Morning', 'Evening']"
70,Samantha Pollard,30,Intermediate,"['Neural Networks', 'Computer Architecture', 'Software Engineering', 'Quantum Computing', 'Big Data', 'Ethical Hacking', 'Linear Algebra', 'Cloud Computing', 'Database Management']","['Database Management', 'Quantum Computing', 'Linear Algebra']","['Ethical Hacking', 'Computer Architecture', 'Cloud Computing', 'Big Data', 'Neural Networks', 'Software Engineering']",Visual,Solo,['Afternoon']
71,Kyle Sanchez,26,Intermediate,"['Computer Vision', 'Web Development', 'Computer Architecture', 'Algorithms', 'Data Structures', 'Cybersecurity', 'Theory of Computation', 'Internet of Things', 'Ethical Hacking', 'Machine Learning']","['Computer Architecture', 'Computer Vision', 'Internet of Things', 'Algorithms']","['Ethical Hacking', 'Machine Learning', 'Theory of Computation', 'Data Structures', 'Cybersecurity', 'Web Development']",Visual,Solo,['Evening']
